id;id_textual;nom;activat;visible_publicacio;id_pare
53050;FRANCO;Francisco Franco;0;0;52099
52889;FRANQUISME;Franquisme;0;0;52099
52436;FRAUFISCAL;Frau fiscal;0;0;52099
52406;MOMPOU;Frederic Mompou;0;0;52099
52456;MONTSENY;Frederica Montseny i Mañé;0;0;52099
54202;POLISARIO;Front Polisario;0;1;52099
53166;FREPUBLICA;Front Republicà;0;1;52099
54373;FUKUSHIMA;Fukushima;0;0;52099
53414;RUFIAN;Gabriel Rufián;0;0;52099
52909;GALICIA;Galícia;0;0;52099
55393;GAMELAB;Gamelab;0;0;52099
52583;GASTRONOMIA;Gastronomia;0;0;52099
53064;GAZA;Gaza;0;0;52099
53133;GENERALITAT;Generalitat de Catalunya;0;0;52099
52862;GENOVA;Gènova;0;1;52099
57094;GENTGRAN;Gent gran;0;0;52099
53694;FLOYD;George Floyd;0;1;52099
52348;PIQUE;Gerard Piqué;0;0;52104
53006;GIBRALTAR;Gibraltar;0;0;52099
54908;MELONI;Giorgia Meloni;0;0;52099
52504;GOOGLE;Google;0;0;52099
52345;GOVERNPRESO;Govern empresonat;0;1;52099
54411;GOVERNESP;Govern espanyol;0;0;52099
54780;GRECIA;Grècia;0;0;52099
53101;GREEN;GreenMeteoMauri;0;1;52122
53418;GRETACLIMA;Greta Thunberg;0;0;52099
52780;GRIEZMANN;Griezmann;0;0;52104
57241;GROENLANDIA;Groenlàndia;0;0;52099
52723;GUARDIACIVIL;Guàrdia Civil;0;0;52099
54145;GUB;Guàrdia Urbana ;0;0;52099
52429;GUARDIOLA;Guardiola;0;0;52104
55606;HAMASISRAEL;Guerra a Gaza;0;0;52099
54189;GUERRACIVIL;Guerra Civil espanyola ;0;0;52099
54118;AGULLO;Guillem Agulló;0;0;52099
52569;GURTEL;Gürtel;0;1;52099
52547;HABITATGE;Habitatge;0;0;52099
54619;HAITI;Haití;0;0;52099
55607;HAMAS;Hamas;0;0;52099
56043;HFLICK;Hansi Flick;0;0;52104
54827;HELENAJUBANY;Helena Jubany;0;0;52099
56195;HEZBOLA;Hezbollah;0;0;52099
52609;HIPOTEQUES;Hipoteques;0;0;52099
52224;HCATALANA;Hisenda catalana;0;0;52099
52637;HOLOCAUST;Holocaust;0;0;52099
52526;HOMOFOBIA;Homofòbia;0;0;52099
53258;HONGKONG;Hong Kong;0;0;52099
54795;HONGRIA;Hongria;0;0;52099
55078;CLINIC;Hospital Clínic;0;0;52099
